shot,seed,train_size,valid_size,test_size,best_epoch_acc,best_val_acc,best_epoch_f1,best_val_f1,valid_acc_final,valid_f1_macro_final,valid_loss_final,test_acc_final,test_f1_macro_final,test_loss_final,checkpoint_path_acc,checkpoint_path_f1,history_path
5,7,50,90000,90000,26,0.16574444444444444,26,0.15272101978196131,0.16574444444444444,0.15272101978196131,4.762606113179524,0.16382222222222223,0.15137789919401057,4.775778108384874,drive/MyDrive/fewshot_pretrained_outputs_lr001_bs128_flip_only/shot_5/seed_7/best_acc.pth,drive/MyDrive/fewshot_pretrained_outputs_lr001_bs128_flip_only/shot_5/seed_7/best_f1.pth,drive/MyDrive/fewshot_pretrained_outputs_lr001_bs128_flip_only/shot_5/seed_7/history.csv
5,42,50,90000,90000,26,0.15563333333333335,26,0.14401381190404777,0.15563333333333335,0.14401381190404777,4.75906940290663,0.1536,0.14203276497717385,4.750400706185235,drive/MyDrive/fewshot_pretrained_outputs_lr001_bs128_flip_only/shot_5/seed_42/best_acc.pth,drive/MyDrive/fewshot_pretrained_outputs_lr001_bs128_flip_only/shot_5/seed_42/best_f1.pth,drive/MyDrive/fewshot_pretrained_outputs_lr001_bs128_flip_only/shot_5/seed_42/history.csv
5,123,50,90000,90000,10,0.15081111111111112,11,0.13719471270618394,0.15081111111111112,0.13487000659552523,2.63593296585083,0.15356666666666666,0.1374013303339257,2.6352056267632378,drive/MyDrive/fewshot_pretrained_outputs_lr001_bs128_flip_only/shot_5/seed_123/best_acc.pth,drive/MyDrive/fewshot_pretrained_outputs_lr001_bs128_flip_only/shot_5/seed_123/best_f1.pth,drive/MyDrive/fewshot_pretrained_outputs_lr001_bs128_flip_only/shot_5/seed_123/history.csv
5,999,50,90000,90000,26,0.18817777777777778,26,0.15690083584585204,0.18817777777777778,0.15690083584585204,5.122399518839519,0.18973333333333334,0.15902104445589382,5.123071231672499,drive/MyDrive/fewshot_pretrained_outputs_lr001_bs128_flip_only/shot_5/seed_999/best_acc.pth,drive/MyDrive/fewshot_pretrained_outputs_lr001_bs128_flip_only/shot_5/seed_999/best_f1.pth,drive/MyDrive/fewshot_pretrained_outputs_lr001_bs128_flip_only/shot_5/seed_999/history.csv
5,2024,50,90000,90000,26,0.17627777777777778,26,0.16635944292502183,0.17627777777777778,0.16635944292502183,4.430517090182835,0.17567777777777777,0.16557900244837762,4.430327655877007,drive/MyDrive/fewshot_pretrained_outputs_lr001_bs128_flip_only/shot_5/seed_2024/best_acc.pth,drive/MyDrive/fewshot_pretrained_outputs_lr001_bs128_flip_only/shot_5/seed_2024/best_f1.pth,drive/MyDrive/fewshot_pretrained_outputs_lr001_bs128_flip_only/shot_5/seed_2024/history.csv
10,7,100,90000,90000,26,0.21406666666666666,22,0.1982563548507776,0.21406666666666666,0.19641029231283622,3.7678667896694606,0.20984444444444444,0.19234944119361297,3.796502297041151,drive/MyDrive/fewshot_pretrained_outputs_lr001_bs128_flip_only/shot_10/seed_7/best_acc.pth,drive/MyDrive/fewshot_pretrained_outputs_lr001_bs128_flip_only/shot_10/seed_7/best_f1.pth,drive/MyDrive/fewshot_pretrained_outputs_lr001_bs128_flip_only/shot_10/seed_7/history.csv
10,42,100,90000,90000,19,0.1781,23,0.15902868134302076,0.1781,0.15304297780491932,3.2598073866102433,0.17614444444444444,0.15120915950016992,3.2730333351135252,drive/MyDrive/fewshot_pretrained_outputs_lr001_bs128_flip_only/shot_10/seed_42/best_acc.pth,drive/MyDrive/fewshot_pretrained_outputs_lr001_bs128_flip_only/shot_10/seed_42/best_f1.pth,drive/MyDrive/fewshot_pretrained_outputs_lr001_bs128_flip_only/shot_10/seed_42/history.csv
10,123,100,90000,90000,26,0.17508888888888888,26,0.16886017312884602,0.17508888888888888,0.16886017312884602,3.9001378556993274,0.17585555555555554,0.1704503365006897,3.8923935737609865,drive/MyDrive/fewshot_pretrained_outputs_lr001_bs128_flip_only/shot_10/seed_123/best_acc.pth,drive/MyDrive/fewshot_pretrained_outputs_lr001_bs128_flip_only/shot_10/seed_123/best_f1.pth,drive/MyDrive/fewshot_pretrained_outputs_lr001_bs128_flip_only/shot_10/seed_123/history.csv
10,999,100,90000,90000,26,0.17452222222222222,26,0.16232227834687682,0.17452222222222222,0.16232227834687682,4.244378671858046,0.17184444444444444,0.1596665659133719,4.253503484344482,drive/MyDrive/fewshot_pretrained_outputs_lr001_bs128_flip_only/shot_10/seed_999/best_acc.pth,drive/MyDrive/fewshot_pretrained_outputs_lr001_bs128_flip_only/shot_10/seed_999/best_f1.pth,drive/MyDrive/fewshot_pretrained_outputs_lr001_bs128_flip_only/shot_10/seed_999/history.csv
10,2024,100,90000,90000,18,0.20037777777777777,18,0.1756659234461168,0.20037777777777777,0.1756659234461168,2.9176544269985625,0.20163333333333333,0.17600301207667282,2.924323683251275,drive/MyDrive/fewshot_pretrained_outputs_lr001_bs128_flip_only/shot_10/seed_2024/best_acc.pth,drive/MyDrive/fewshot_pretrained_outputs_lr001_bs128_flip_only/shot_10/seed_2024/best_f1.pth,drive/MyDrive/fewshot_pretrained_outputs_lr001_bs128_flip_only/shot_10/seed_2024/history.csv
20,7,200,90000,90000,16,0.2288,22,0.22413697444214348,0.2288,0.2210634578525453,2.958729471037123,0.22767777777777778,0.21974049736446583,2.966512893210517,drive/MyDrive/fewshot_pretrained_outputs_lr001_bs128_flip_only/shot_20/seed_7/best_acc.pth,drive/MyDrive/fewshot_pretrained_outputs_lr001_bs128_flip_only/shot_20/seed_7/best_f1.pth,drive/MyDrive/fewshot_pretrained_outputs_lr001_bs128_flip_only/shot_20/seed_7/history.csv
20,42,200,90000,90000,25,0.22874444444444444,25,0.22544065856469198,0.22874444444444444,0.22544065856469198,3.4313602709452313,0.2303888888888889,0.22751003712261086,3.401248095787896,drive/MyDrive/fewshot_pretrained_outputs_lr001_bs128_flip_only/shot_20/seed_42/best_acc.pth,drive/MyDrive/fewshot_pretrained_outputs_lr001_bs128_flip_only/shot_20/seed_42/best_f1.pth,drive/MyDrive/fewshot_pretrained_outputs_lr001_bs128_flip_only/shot_20/seed_42/history.csv
20,123,200,90000,90000,26,0.22394444444444445,25,0.2201091121675923,0.22394444444444445,0.21998302039438386,3.679723451953464,0.22344444444444445,0.21982602221884168,3.6448699883355036,drive/MyDrive/fewshot_pretrained_outputs_lr001_bs128_flip_only/shot_20/seed_123/best_acc.pth,drive/MyDrive/fewshot_pretrained_outputs_lr001_bs128_flip_only/shot_20/seed_123/best_f1.pth,drive/MyDrive/fewshot_pretrained_outputs_lr001_bs128_flip_only/shot_20/seed_123/history.csv
20,999,200,90000,90000,20,0.24574444444444443,26,0.24207346176866085,0.24574444444444443,0.23310642889887875,3.292708068593343,0.24694444444444444,0.23456535942651008,3.3078605532328287,drive/MyDrive/fewshot_pretrained_outputs_lr001_bs128_flip_only/shot_20/seed_999/best_acc.pth,drive/MyDrive/fewshot_pretrained_outputs_lr001_bs128_flip_only/shot_20/seed_999/best_f1.pth,drive/MyDrive/fewshot_pretrained_outputs_lr001_bs128_flip_only/shot_20/seed_999/history.csv
