shot,seed,train_size,valid_size,test_size,best_epoch_acc,best_val_acc,best_epoch_f1,best_val_f1,valid_acc_final,valid_f1_macro_final,valid_loss_final,test_acc_final,test_f1_macro_final,test_loss_final,checkpoint_path_acc,checkpoint_path_f1,history_path
5,7,50,90000,90000,25,0.16141111111111112,16,0.15046979693538912,0.16141111111111112,0.14113342573336873,2.658425475459629,0.1592,0.13847847695304136,2.662716150326199,drive/MyDrive/fewshot_pretrained_outputs_lr0001_bs16_flip_only/shot_5/seed_7/best_acc.pth,drive/MyDrive/fewshot_pretrained_outputs_lr0001_bs16_flip_only/shot_5/seed_7/best_f1.pth,drive/MyDrive/fewshot_pretrained_outputs_lr0001_bs16_flip_only/shot_5/seed_7/history.csv
5,42,50,90000,90000,15,0.16607777777777777,24,0.15522015996598076,0.16607777777777777,0.15210459362751544,2.436963379987081,0.16525555555555554,0.15147547189622185,2.4351617086410524,drive/MyDrive/fewshot_pretrained_outputs_lr0001_bs16_flip_only/shot_5/seed_42/best_acc.pth,drive/MyDrive/fewshot_pretrained_outputs_lr0001_bs16_flip_only/shot_5/seed_42/best_f1.pth,drive/MyDrive/fewshot_pretrained_outputs_lr0001_bs16_flip_only/shot_5/seed_42/history.csv
5,123,50,90000,90000,22,0.17476666666666665,22,0.1644559998423695,0.17476666666666665,0.1644559998423695,2.569207176484002,0.17376666666666668,0.16395196689933786,2.570816858990987,drive/MyDrive/fewshot_pretrained_outputs_lr0001_bs16_flip_only/shot_5/seed_123/best_acc.pth,drive/MyDrive/fewshot_pretrained_outputs_lr0001_bs16_flip_only/shot_5/seed_123/best_f1.pth,drive/MyDrive/fewshot_pretrained_outputs_lr0001_bs16_flip_only/shot_5/seed_123/history.csv
5,999,50,90000,90000,12,0.1948111111111111,25,0.17757910867437549,0.1948111111111111,0.16261208232107044,2.439446030086941,0.1952888888888889,0.16314044766441144,2.4405263638072543,drive/MyDrive/fewshot_pretrained_outputs_lr0001_bs16_flip_only/shot_5/seed_999/best_acc.pth,drive/MyDrive/fewshot_pretrained_outputs_lr0001_bs16_flip_only/shot_5/seed_999/best_f1.pth,drive/MyDrive/fewshot_pretrained_outputs_lr0001_bs16_flip_only/shot_5/seed_999/history.csv
5,2024,50,90000,90000,26,0.16571111111111111,26,0.15553245903107768,0.16571111111111111,0.15553245903107768,2.608556077554491,0.1672,0.1567373528196465,2.602089190716214,drive/MyDrive/fewshot_pretrained_outputs_lr0001_bs16_flip_only/shot_5/seed_2024/best_acc.pth,drive/MyDrive/fewshot_pretrained_outputs_lr0001_bs16_flip_only/shot_5/seed_2024/best_f1.pth,drive/MyDrive/fewshot_pretrained_outputs_lr0001_bs16_flip_only/shot_5/seed_2024/history.csv
10,7,100,90000,90000,25,0.213,25,0.20584297214205227,0.213,0.20584297214205227,2.4391467541694642,0.2117111111111111,0.20352503365957123,2.449248610750834,drive/MyDrive/fewshot_pretrained_outputs_lr0001_bs16_flip_only/shot_10/seed_7/best_acc.pth,drive/MyDrive/fewshot_pretrained_outputs_lr0001_bs16_flip_only/shot_10/seed_7/best_f1.pth,drive/MyDrive/fewshot_pretrained_outputs_lr0001_bs16_flip_only/shot_10/seed_7/history.csv
10,42,100,90000,90000,22,0.2088888888888889,22,0.20240527264793468,0.2088888888888889,0.20240527264793468,2.336563165283203,0.2075,0.2005391939617441,2.339265039030711,drive/MyDrive/fewshot_pretrained_outputs_lr0001_bs16_flip_only/shot_10/seed_42/best_acc.pth,drive/MyDrive/fewshot_pretrained_outputs_lr0001_bs16_flip_only/shot_10/seed_42/best_f1.pth,drive/MyDrive/fewshot_pretrained_outputs_lr0001_bs16_flip_only/shot_10/seed_42/history.csv
10,123,100,90000,90000,24,0.22447777777777778,24,0.21653461383426215,0.22447777777777778,0.21653461383426215,2.4327296419673496,0.22377777777777777,0.21637769344077667,2.430215897454156,drive/MyDrive/fewshot_pretrained_outputs_lr0001_bs16_flip_only/shot_10/seed_123/best_acc.pth,drive/MyDrive/fewshot_pretrained_outputs_lr0001_bs16_flip_only/shot_10/seed_123/best_f1.pth,drive/MyDrive/fewshot_pretrained_outputs_lr0001_bs16_flip_only/shot_10/seed_123/history.csv
10,999,100,90000,90000,25,0.21437777777777778,25,0.20959010159880637,0.21437777777777778,0.20959010159880637,2.3723497035132515,0.21436666666666668,0.20967318350602554,2.3727260966618857,drive/MyDrive/fewshot_pretrained_outputs_lr0001_bs16_flip_only/shot_10/seed_999/best_acc.pth,drive/MyDrive/fewshot_pretrained_outputs_lr0001_bs16_flip_only/shot_10/seed_999/best_f1.pth,drive/MyDrive/fewshot_pretrained_outputs_lr0001_bs16_flip_only/shot_10/seed_999/history.csv
10,2024,100,90000,90000,25,0.22942222222222222,25,0.22352265831585338,0.22942222222222222,0.22352265831585338,2.338400414276123,0.22978888888888888,0.22378788870354516,2.3400892486784195,drive/MyDrive/fewshot_pretrained_outputs_lr0001_bs16_flip_only/shot_10/seed_2024/best_acc.pth,drive/MyDrive/fewshot_pretrained_outputs_lr0001_bs16_flip_only/shot_10/seed_2024/best_f1.pth,drive/MyDrive/fewshot_pretrained_outputs_lr0001_bs16_flip_only/shot_10/seed_2024/history.csv
20,7,200,90000,90000,26,0.2342,26,0.23515985638551656,0.2342,0.23515985638551656,2.3420384198294744,0.23402222222222221,0.23505004108855956,2.3483616120126514,drive/MyDrive/fewshot_pretrained_outputs_lr0001_bs16_flip_only/shot_20/seed_7/best_acc.pth,drive/MyDrive/fewshot_pretrained_outputs_lr0001_bs16_flip_only/shot_20/seed_7/best_f1.pth,drive/MyDrive/fewshot_pretrained_outputs_lr0001_bs16_flip_only/shot_20/seed_7/history.csv
20,42,200,90000,90000,22,0.24654444444444445,15,0.2388119678687101,0.24654444444444445,0.23515105015632115,2.296293504799737,0.2461888888888889,0.23505145779955927,2.2951701216379803,drive/MyDrive/fewshot_pretrained_outputs_lr0001_bs16_flip_only/shot_20/seed_42/best_acc.pth,drive/MyDrive/fewshot_pretrained_outputs_lr0001_bs16_flip_only/shot_20/seed_42/best_f1.pth,drive/MyDrive/fewshot_pretrained_outputs_lr0001_bs16_flip_only/shot_20/seed_42/history.csv
20,123,200,90000,90000,20,0.23812222222222224,23,0.2363821820063472,0.23812222222222224,0.22942479743254673,2.293822616068522,0.23953333333333332,0.23089098601439542,2.2882559096442328,drive/MyDrive/fewshot_pretrained_outputs_lr0001_bs16_flip_only/shot_20/seed_123/best_acc.pth,drive/MyDrive/fewshot_pretrained_outputs_lr0001_bs16_flip_only/shot_20/seed_123/best_f1.pth,drive/MyDrive/fewshot_pretrained_outputs_lr0001_bs16_flip_only/shot_20/seed_123/history.csv
20,999,200,90000,90000,22,0.2531,25,0.24756716430039613,0.2531,0.24380422717064903,2.2900403926637436,0.2513666666666667,0.24197210566496272,2.298027235285441,drive/MyDrive/fewshot_pretrained_outputs_lr0001_bs16_flip_only/shot_20/seed_999/best_acc.pth,drive/MyDrive/fewshot_pretrained_outputs_lr0001_bs16_flip_only/shot_20/seed_999/best_f1.pth,drive/MyDrive/fewshot_pretrained_outputs_lr0001_bs16_flip_only/shot_20/seed_999/history.csv
20,2024,200,90000,90000,17,0.2507333333333333,17,0.24919584400959507,0.2507333333333333,0.24919584400959507,2.2091836000972322,0.25105555555555553,0.24964744787027926,2.204871398809221,drive/MyDrive/fewshot_pretrained_outputs_lr0001_bs16_flip_only/shot_20/seed_2024/best_acc.pth,drive/MyDrive/fewshot_pretrained_outputs_lr0001_bs16_flip_only/shot_20/seed_2024/best_f1.pth,drive/MyDrive/fewshot_pretrained_outputs_lr0001_bs16_flip_only/shot_20/seed_2024/history.csv
