epoch,train_loss,val_loss,train_f1_macro,val_f1_macro,lr,batch_size,arch,weight_decay,dropout,seed,batch_size_from_dir,lr_from_dir,run_name,run_dir
0,1.857639977476332,1.659392894744873,0.332243520702786,0.329788624109241,0.01,64,mbv2,0,0.2,123,64,0.01,mbv2_bs64_lr1e-2_wd_0_dp_2e-1_seed_123,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\lr_new\experiments\mbv2_bs64_lr1e-2_wd_0_dp_2e-1_seed_123
1,1.500369714609782,1.6049769297652774,0.4327487626618505,0.4290623524243543,0.01,64,mbv2,0,0.2,123,64,0.01,mbv2_bs64_lr1e-2_wd_0_dp_2e-1_seed_123,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\lr_new\experiments\mbv2_bs64_lr1e-2_wd_0_dp_2e-1_seed_123
2,1.3115365552054512,1.2487158958435058,0.5486520377691315,0.5353357914397459,0.01,64,mbv2,0,0.2,123,64,0.01,mbv2_bs64_lr1e-2_wd_0_dp_2e-1_seed_123,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\lr_new\experiments\mbv2_bs64_lr1e-2_wd_0_dp_2e-1_seed_123
3,1.2036616958194308,1.2564537532117632,0.549302021750774,0.5385031560282322,0.01,64,mbv2,0,0.2,123,64,0.01,mbv2_bs64_lr1e-2_wd_0_dp_2e-1_seed_123,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\lr_new\experiments\mbv2_bs64_lr1e-2_wd_0_dp_2e-1_seed_123
4,1.126664968978034,1.084509398121304,0.6244889876288694,0.6048793055658153,0.01,64,mbv2,0,0.2,123,64,0.01,mbv2_bs64_lr1e-2_wd_0_dp_2e-1_seed_123,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\lr_new\experiments\mbv2_bs64_lr1e-2_wd_0_dp_2e-1_seed_123
5,1.066307307900323,1.1036409506162008,0.6228322322261164,0.6026798810150997,0.01,64,mbv2,0,0.2,123,64,0.01,mbv2_bs64_lr1e-2_wd_0_dp_2e-1_seed_123,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\lr_new\experiments\mbv2_bs64_lr1e-2_wd_0_dp_2e-1_seed_123
6,1.0126220755047268,0.9865453015539382,0.6689001828985104,0.6428622550476258,0.01,64,mbv2,0,0.2,123,64,0.01,mbv2_bs64_lr1e-2_wd_0_dp_2e-1_seed_123,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\lr_new\experiments\mbv2_bs64_lr1e-2_wd_0_dp_2e-1_seed_123
7,0.9636287150912816,1.0199316601806216,0.6664965134325765,0.6349224734550588,0.01,64,mbv2,0,0.2,123,64,0.01,mbv2_bs64_lr1e-2_wd_0_dp_2e-1_seed_123,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\lr_new\experiments\mbv2_bs64_lr1e-2_wd_0_dp_2e-1_seed_123
8,0.9271514245351156,0.9673454024473828,0.6818817335351738,0.6505134084130569,0.01,64,mbv2,0,0.2,123,64,0.01,mbv2_bs64_lr1e-2_wd_0_dp_2e-1_seed_123,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\lr_new\experiments\mbv2_bs64_lr1e-2_wd_0_dp_2e-1_seed_123
9,0.8897454555511475,0.9249622506565518,0.7093424406147122,0.6709550568566389,0.01,64,mbv2,0,0.2,123,64,0.01,mbv2_bs64_lr1e-2_wd_0_dp_2e-1_seed_123,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\lr_new\experiments\mbv2_bs64_lr1e-2_wd_0_dp_2e-1_seed_123
