epoch,train_loss,val_loss,train_f1_macro,val_f1_macro,lr,batch_size,arch,seed,run_name,run_dir
0,1.8728261444515653,1.5125361900117662,0.4584252802331998,0.4515726914656981,0.01,128,mbv2_cutmix1,123,mbv2_cutmix1_seed_123,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_123
1,1.5247479658762615,1.2410650564405654,0.564079109349729,0.5525708688183347,0.01,128,mbv2_cutmix1,123,mbv2_cutmix1_seed_123,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_123
2,1.4182990784751044,1.2670368723339505,0.5531778275727464,0.5388634102045394,0.01,128,mbv2_cutmix1,123,mbv2_cutmix1_seed_123,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_123
3,1.3298560182041592,1.0591354608535766,0.6654116844003651,0.6423853514404819,0.01,128,mbv2_cutmix1,123,mbv2_cutmix1_seed_123,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_123
4,1.2569007862408956,0.9924644454744128,0.6905753488313915,0.6687659320345217,0.01,128,mbv2_cutmix1,123,mbv2_cutmix1_seed_123,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_123
5,1.2077525827407838,0.9888658198462592,0.7055908660254537,0.6794575650439385,0.01,128,mbv2_cutmix1,123,mbv2_cutmix1_seed_123,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_123
6,1.1637764658292136,0.9384498883247376,0.7279992437163884,0.6928880553841366,0.01,128,mbv2_cutmix1,123,mbv2_cutmix1_seed_123,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_123
7,1.124786274019877,0.9325212543911404,0.7358958779388804,0.6982364429912209,0.01,128,mbv2_cutmix1,123,mbv2_cutmix1_seed_123,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_123
8,1.086711117511325,0.8935340875201755,0.7462495203912113,0.7020806135394805,0.01,128,mbv2_cutmix1,123,mbv2_cutmix1_seed_123,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_123
9,1.0544810790273875,0.8611991649203831,0.7818595014733891,0.7315948266777645,0.01,128,mbv2_cutmix1,123,mbv2_cutmix1_seed_123,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_123
10,1.034023384719425,0.8522559708277384,0.7747318541143232,0.7200883351739187,0.01,128,mbv2_cutmix1,123,mbv2_cutmix1_seed_123,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_123
11,1.0061204783227709,0.8077710307704078,0.7946854359137421,0.7311815707079485,0.01,128,mbv2_cutmix1,123,mbv2_cutmix1_seed_123,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_123
12,0.9891956914663316,0.8348387628767225,0.799395858912733,0.7340933486373631,0.01,128,mbv2_cutmix1,123,mbv2_cutmix1_seed_123,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_123
13,0.9715817976739672,0.8205160852856106,0.8041354734783613,0.7350977512008863,0.01,128,mbv2_cutmix1,123,mbv2_cutmix1_seed_123,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_123
14,0.9683557672712538,0.8492399067454868,0.8091870552451741,0.7391265792449613,0.01,128,mbv2_cutmix1,123,mbv2_cutmix1_seed_123,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_123
15,0.9481692205111184,0.808883445654975,0.8304966055839683,0.7496109198999363,0.01,128,mbv2_cutmix1,123,mbv2_cutmix1_seed_123,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_123
16,0.9369730163786146,0.8169288834253947,0.8264497242865095,0.744455268782586,0.01,128,mbv2_cutmix1,123,mbv2_cutmix1_seed_123,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_123
17,0.9265151218997107,0.8165924971368578,0.8371732130538663,0.7496291430563877,0.01,128,mbv2_cutmix1,123,mbv2_cutmix1_seed_123,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_123
18,0.910506739001804,0.7564377769894071,0.8466080346772019,0.7530534743736798,0.01,128,mbv2_cutmix1,123,mbv2_cutmix1_seed_123,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_123
19,0.9082353068298764,0.7734874489890204,0.8589959748415803,0.7593159723314905,0.01,128,mbv2_cutmix1,123,mbv2_cutmix1_seed_123,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_123
20,0.8756261709425185,0.7745053634537591,0.8562950704290694,0.7544256400986512,0.01,128,mbv2_cutmix1,123,mbv2_cutmix1_seed_123,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_123
21,0.8709071791754829,0.7676867185592652,0.86515226376865,0.76028886062647,0.01,128,mbv2_cutmix1,123,mbv2_cutmix1_seed_123,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_123
22,0.864477394607332,0.7634611095004612,0.8676399655949494,0.7567364367610854,0.01,128,mbv2_cutmix1,123,mbv2_cutmix1_seed_123,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_123
23,0.8604828362252978,0.7719666501786974,0.8715098308193939,0.7634084099184597,0.01,128,mbv2_cutmix1,123,mbv2_cutmix1_seed_123,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_123
24,0.8504866675059001,0.7974567580858867,0.877075068422225,0.7612704664348893,0.01,128,mbv2_cutmix1,123,mbv2_cutmix1_seed_123,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_123
25,0.8334470128006405,0.7344929753409492,0.8839040419994578,0.7618751205127763,0.01,128,mbv2_cutmix1,123,mbv2_cutmix1_seed_123,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_123
0,1.8211983257081772,1.4074651590559215,0.4881779148112367,0.4789725300732195,0.01,128,mbv2_cutmix1,2024,mbv2_cutmix1_seed_2024,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_2024
1,1.497716397105323,1.2435249120500351,0.5753167683588823,0.5624843451880842,0.01,128,mbv2_cutmix1,2024,mbv2_cutmix1_seed_2024,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_2024
2,1.3797703738954332,1.1157890563117134,0.6153557762971621,0.6009628917310389,0.01,128,mbv2_cutmix1,2024,mbv2_cutmix1_seed_2024,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_2024
3,1.3020583807839288,1.1000997109942967,0.6495164236884193,0.6321099374951145,0.01,128,mbv2_cutmix1,2024,mbv2_cutmix1_seed_2024,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_2024
4,1.2403054788695442,0.9721648514005872,0.7073063244537121,0.6802285388311283,0.01,128,mbv2_cutmix1,2024,mbv2_cutmix1_seed_2024,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_2024
5,1.1954202575153774,0.9401394886228772,0.7130375179506144,0.683622262278258,0.01,128,mbv2_cutmix1,2024,mbv2_cutmix1_seed_2024,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_2024
6,1.1486843166510263,0.9664060276031494,0.7097047349298933,0.6770552551436714,0.01,128,mbv2_cutmix1,2024,mbv2_cutmix1_seed_2024,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_2024
7,1.1063320906215244,0.8789603638225132,0.7540618774983417,0.7156064897490295,0.01,128,mbv2_cutmix1,2024,mbv2_cutmix1_seed_2024,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_2024
8,1.075587503110038,0.893614076201121,0.7408671897546585,0.700365998446338,0.01,128,mbv2_cutmix1,2024,mbv2_cutmix1_seed_2024,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_2024
9,1.0505544249958465,0.8738398418744405,0.7613078194674907,0.7151503870971708,0.01,128,mbv2_cutmix1,2024,mbv2_cutmix1_seed_2024,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_2024
10,1.0361458503829108,0.8105861882315741,0.7965473033917243,0.7377014066631175,0.01,128,mbv2_cutmix1,2024,mbv2_cutmix1_seed_2024,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_2024
11,1.003915054681566,0.8209467114130656,0.8040077268960907,0.7408121456368524,0.01,128,mbv2_cutmix1,2024,mbv2_cutmix1_seed_2024,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_2024
12,1.003833765384886,0.8231807916853163,0.8008629364811968,0.7361022188054529,0.01,128,mbv2_cutmix1,2024,mbv2_cutmix1_seed_2024,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_2024
13,0.9771662649472554,0.8178530783971151,0.8158927446859627,0.7465918514121063,0.01,128,mbv2_cutmix1,2024,mbv2_cutmix1_seed_2024,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_2024
14,0.957720605829027,0.8189125336329143,0.8136455453630507,0.7405593622671176,0.01,128,mbv2_cutmix1,2024,mbv2_cutmix1_seed_2024,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_2024
15,0.9420130168596904,0.7936193736288283,0.8333595959037654,0.7525295517551944,0.01,128,mbv2_cutmix1,2024,mbv2_cutmix1_seed_2024,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_2024
16,0.9404991424136692,0.7895193461312188,0.8365719655527795,0.7529102823529134,0.01,128,mbv2_cutmix1,2024,mbv2_cutmix1_seed_2024,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_2024
17,0.9207691693517897,0.8295791175736321,0.8176810575607479,0.7312503528176011,0.01,128,mbv2_cutmix1,2024,mbv2_cutmix1_seed_2024,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_2024
18,0.911191374429067,0.7938210522757636,0.8427646036496272,0.7527212260957288,0.01,128,mbv2_cutmix1,2024,mbv2_cutmix1_seed_2024,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_2024
19,0.894111449903912,0.8325561363326178,0.8399864159411635,0.7458395619485226,0.01,128,mbv2_cutmix1,2024,mbv2_cutmix1_seed_2024,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_2024
20,0.8774284745534261,0.7765227937062581,0.8536601944471036,0.7519151409146996,0.01,128,mbv2_cutmix1,2024,mbv2_cutmix1_seed_2024,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_2024
21,0.8710725446952714,0.7520400796890259,0.8672663639313873,0.7589625993693048,0.01,128,mbv2_cutmix1,2024,mbv2_cutmix1_seed_2024,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_2024
22,0.8718992172612084,0.7691848175154792,0.8640395521447175,0.7546102015572754,0.01,128,mbv2_cutmix1,2024,mbv2_cutmix1_seed_2024,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_2024
23,0.860577661535475,0.7723002958403693,0.872613171908734,0.7585178327670645,0.01,128,mbv2_cutmix1,2024,mbv2_cutmix1_seed_2024,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_2024
24,0.8487398591253492,0.7614635357644823,0.8790732303338122,0.7610580413777195,0.01,128,mbv2_cutmix1,2024,mbv2_cutmix1_seed_2024,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_2024
25,0.840881948516104,0.8296898310449389,0.8737627011429845,0.7571289728185508,0.01,128,mbv2_cutmix1,2024,mbv2_cutmix1_seed_2024,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_2024
0,1.821214603445265,1.4220758955849542,0.4640884638989371,0.4560116743475218,0.01,128,mbv2_cutmix1,42,mbv2_cutmix1_seed_42,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_42
1,1.5077238247553508,1.2527896272977193,0.5646020385287522,0.552969868905775,0.01,128,mbv2_cutmix1,42,mbv2_cutmix1_seed_42,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_42
2,1.3861759978294372,1.1657713095770943,0.6170791778971415,0.5984977688552855,0.01,128,mbv2_cutmix1,42,mbv2_cutmix1_seed_42,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_42
3,1.3011185568067762,1.075314820777045,0.6483619821679529,0.6301655336772798,0.01,128,mbv2_cutmix1,42,mbv2_cutmix1_seed_42,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_42
4,1.2436972971598308,0.9749251047558256,0.6895098875494764,0.6665362271669781,0.01,128,mbv2_cutmix1,42,mbv2_cutmix1_seed_42,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_42
5,1.1943940015792849,0.951416465335422,0.7271714244477784,0.6941756965522261,0.01,128,mbv2_cutmix1,42,mbv2_cutmix1_seed_42,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_42
6,1.15823387099372,0.9241919183307225,0.7272418849417763,0.6919244106487383,0.01,128,mbv2_cutmix1,42,mbv2_cutmix1_seed_42,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_42
7,1.1195506023354,0.8928848946147495,0.7513781259029433,0.7087915925217272,0.01,128,mbv2_cutmix1,42,mbv2_cutmix1_seed_42,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_42
8,1.079918144226074,0.8338765684127808,0.7767052370503328,0.7281011934664925,0.01,128,mbv2_cutmix1,42,mbv2_cutmix1_seed_42,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_42
9,1.0491596757041084,0.899999487622579,0.756708511597666,0.7032785657872747,0.01,128,mbv2_cutmix1,42,mbv2_cutmix1_seed_42,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_42
10,1.0347554846286773,0.8201606578932868,0.7917539602513008,0.7336165634621546,0.01,128,mbv2_cutmix1,42,mbv2_cutmix1_seed_42,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_42
11,1.016765628475613,0.8565786478042603,0.7889286275214463,0.7267754092880236,0.01,128,mbv2_cutmix1,42,mbv2_cutmix1_seed_42,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_42
12,0.992772951274448,0.8192515256034003,0.8063640257066051,0.738469217163272,0.01,128,mbv2_cutmix1,42,mbv2_cutmix1_seed_42,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_42
13,0.9783180071247948,0.8506687424871656,0.8039322876581505,0.7328095321478072,0.01,128,mbv2_cutmix1,42,mbv2_cutmix1_seed_42,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_42
14,0.969767985121409,0.8457569008297391,0.8087221084420445,0.7320058494294294,0.01,128,mbv2_cutmix1,42,mbv2_cutmix1_seed_42,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_42
15,0.9577031908512116,0.8313142987675137,0.8195100920412173,0.7380963691389597,0.01,128,mbv2_cutmix1,42,mbv2_cutmix1_seed_42,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_42
16,0.9262752943674724,0.793816276105245,0.835011976120865,0.7496621293902574,0.01,128,mbv2_cutmix1,42,mbv2_cutmix1_seed_42,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_42
17,0.9159210370487636,0.8118814625634088,0.8332048445378559,0.7429320219950044,0.01,128,mbv2_cutmix1,42,mbv2_cutmix1_seed_42,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_42
18,0.9086809822559356,0.8189272948265076,0.8390940582998944,0.7464777531208915,0.01,128,mbv2_cutmix1,42,mbv2_cutmix1_seed_42,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_42
19,0.9002077662361992,0.7933172297159831,0.8532146145945145,0.7521853503800529,0.01,128,mbv2_cutmix1,42,mbv2_cutmix1_seed_42,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_42
20,0.8799131545755599,0.7787092580901251,0.8643353911880064,0.756780693346641,0.01,128,mbv2_cutmix1,42,mbv2_cutmix1_seed_42,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_42
21,0.8758169213559892,0.7598252012252807,0.8698317817194336,0.7593316321515842,0.01,128,mbv2_cutmix1,42,mbv2_cutmix1_seed_42,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_42
22,0.8507647572835286,0.8255501626120674,0.8491495832509465,0.7419322779426732,0.01,128,mbv2_cutmix1,42,mbv2_cutmix1_seed_42,/content/drive/MyDrive/advanced_aug_cutmix_2/mbv2_cutmix1_seed_42
