epoch,train_loss,val_loss,train_f1_macro,val_f1_macro,lr,batch_size,arch,seed,run_name,run_dir,aug
0,1.6578441059536404,1.5520593934694926,0.4461986616836218,0.4286083933399669,0.01,128,mbv2_blur,123,mbv2_blur_seed_123,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_first_part\experiments\mbv2_blur_seed_123,
1,1.2633127896838718,1.1340566944758097,0.5851183664720387,0.5772997636335685,0.01,128,mbv2_blur,123,mbv2_blur_seed_123,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_first_part\experiments\mbv2_blur_seed_123,
2,1.0855960892147487,1.0471240221235487,0.6428960768113757,0.626304833592053,0.01,128,mbv2_blur,123,mbv2_blur_seed_123,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_first_part\experiments\mbv2_blur_seed_123,
3,0.9737650858985052,0.9839433105680676,0.657979305745864,0.6416223839213855,0.01,128,mbv2_blur,123,mbv2_blur_seed_123,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_first_part\experiments\mbv2_blur_seed_123,
4,0.890802873272366,0.95251771118376,0.6870060186790108,0.6571174133220038,0.01,128,mbv2_blur,123,mbv2_blur_seed_123,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_first_part\experiments\mbv2_blur_seed_123,
5,0.8242599815368652,0.9002783209535811,0.7126888261739756,0.6818559541739482,0.01,128,mbv2_blur,123,mbv2_blur_seed_123,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_first_part\experiments\mbv2_blur_seed_123,
6,0.7717140583992005,0.8461601708571116,0.7433063075702767,0.6988452012400528,0.01,128,mbv2_blur,123,mbv2_blur_seed_123,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_first_part\experiments\mbv2_blur_seed_123,
7,0.7246869418674046,0.8303841458850437,0.7509559557046647,0.7009804025197952,0.01,128,mbv2_blur,123,mbv2_blur_seed_123,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_first_part\experiments\mbv2_blur_seed_123,
8,0.6820360719309913,0.8038588769806756,0.7781537122125849,0.7159906259127219,0.01,128,mbv2_blur,123,mbv2_blur_seed_123,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_first_part\experiments\mbv2_blur_seed_123,
9,0.644047051858902,0.8182124163203769,0.7912378529724788,0.7188243586757925,0.01,128,mbv2_blur,123,mbv2_blur_seed_123,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_first_part\experiments\mbv2_blur_seed_123,
10,0.6093059777047899,0.8418595330344306,0.7945644120442621,0.7126540343054734,0.01,128,mbv2_blur,123,mbv2_blur_seed_123,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_first_part\experiments\mbv2_blur_seed_123,
11,0.5749392646259732,0.8883251634703743,0.7976396858217569,0.7117536771303715,0.01,128,mbv2_blur,123,mbv2_blur_seed_123,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_first_part\experiments\mbv2_blur_seed_123,
12,0.5474813710106744,0.8652029891279008,0.8114082860124275,0.71344075467715,0.01,128,mbv2_blur,123,mbv2_blur_seed_123,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_first_part\experiments\mbv2_blur_seed_123,
13,0.5192537675221761,0.8223739226606157,0.840874011799525,0.7242048542533487,0.01,128,mbv2_blur,123,mbv2_blur_seed_123,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_first_part\experiments\mbv2_blur_seed_123,
14,0.4934479369057549,0.8453072325282627,0.8483933004386748,0.7243746365515381,0.01,128,mbv2_blur,123,mbv2_blur_seed_123,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_first_part\experiments\mbv2_blur_seed_123,
15,0.4685634886635674,0.8603827271170086,0.8583202811681598,0.7222266102239823,0.01,128,mbv2_blur,123,mbv2_blur_seed_123,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_first_part\experiments\mbv2_blur_seed_123,
16,0.4429699580298529,0.881407826757431,0.859746858660683,0.7157460160399184,0.01,128,mbv2_blur,123,mbv2_blur_seed_123,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_first_part\experiments\mbv2_blur_seed_123,
17,0.4240663342899746,0.8915717381742265,0.8689519481682906,0.7156982536236709,0.01,128,mbv2_blur,123,mbv2_blur_seed_123,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_first_part\experiments\mbv2_blur_seed_123,
18,0.4014639913029141,0.9341487332238092,0.871093715934728,0.7195682649442654,0.01,128,mbv2_blur,123,mbv2_blur_seed_123,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_first_part\experiments\mbv2_blur_seed_123,
19,0.3814185940265655,0.936765184296502,0.8887956421873214,0.7237011325374066,0.01,128,mbv2_blur,123,mbv2_blur_seed_123,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_first_part\experiments\mbv2_blur_seed_123,
20,0.3641628935496012,0.955640552075704,0.8956354163692835,0.7223530237360599,0.01,128,mbv2_blur,123,mbv2_blur_seed_123,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_first_part\experiments\mbv2_blur_seed_123,
21,0.3455999134540558,0.9581455465952556,0.8915812127780024,0.718227777416908,0.01,128,mbv2_blur,123,mbv2_blur_seed_123,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_first_part\experiments\mbv2_blur_seed_123,
22,0.3323927939097086,1.0046695255173577,0.8992946574070155,0.7173899596573243,0.01,128,mbv2_blur,123,mbv2_blur_seed_123,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_first_part\experiments\mbv2_blur_seed_123,
23,0.3147779442999098,1.0166103076616924,0.9054866141831543,0.7215707608296462,0.01,128,mbv2_blur,123,mbv2_blur_seed_123,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_first_part\experiments\mbv2_blur_seed_123,
24,0.3034731245305803,0.9900347960154215,0.9142869622499196,0.7211946923848097,0.01,128,mbv2_blur,123,mbv2_blur_seed_123,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_first_part\experiments\mbv2_blur_seed_123,
25,0.2880333744790819,1.0411777046203614,0.9201300765099172,0.7190902925197078,0.01,128,mbv2_blur,123,mbv2_blur_seed_123,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_first_part\experiments\mbv2_blur_seed_123,
0,1.6489863078859115,1.4156037011994256,0.4965100158374101,0.4815150433573748,0.01,128,mbv2_blur,2024,mbv2_blur_seed_2024,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_first_part\experiments\mbv2_blur_seed_2024,
1,1.2316019257863362,1.195488095357683,0.5787005793111475,0.5683516330687668,0.01,128,mbv2_blur,2024,mbv2_blur_seed_2024,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_first_part\experiments\mbv2_blur_seed_2024,
2,1.070698007774353,1.0398391748163436,0.6305049714202844,0.6169472211830531,0.01,128,mbv2_blur,2024,mbv2_blur_seed_2024,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_first_part\experiments\mbv2_blur_seed_2024,
3,0.9623652439117432,0.9853369517697228,0.6688712709576446,0.6497068001948556,0.01,128,mbv2_blur,2024,mbv2_blur_seed_2024,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_first_part\experiments\mbv2_blur_seed_2024,
4,0.8849033079041375,0.8871910481505924,0.7120944236763382,0.6837948663705408,0.01,128,mbv2_blur,2024,mbv2_blur_seed_2024,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_first_part\experiments\mbv2_blur_seed_2024,
5,0.822873378806644,0.9248312612321642,0.7121209268941833,0.6792070048277374,0.01,128,mbv2_blur,2024,mbv2_blur_seed_2024,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_first_part\experiments\mbv2_blur_seed_2024,
6,0.7727907225290934,0.8640480031119453,0.7410410903241912,0.6982166217017995,0.01,128,mbv2_blur,2024,mbv2_blur_seed_2024,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_first_part\experiments\mbv2_blur_seed_2024,
7,0.7232001842604743,0.8394533506605361,0.7577978352406478,0.7044926602863414,0.01,128,mbv2_blur,2024,mbv2_blur_seed_2024,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_first_part\experiments\mbv2_blur_seed_2024,
8,0.6813389802296956,0.8087236935244666,0.7840958017333646,0.7164456576133014,0.01,128,mbv2_blur,2024,mbv2_blur_seed_2024,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_first_part\experiments\mbv2_blur_seed_2024,
9,0.6454386753929986,0.8116951795472039,0.7882214618843005,0.7157366276325551,0.01,128,mbv2_blur,2024,mbv2_blur_seed_2024,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_first_part\experiments\mbv2_blur_seed_2024,
10,0.6063124290148417,0.8200433603445689,0.8136410843703189,0.7228779224449834,0.01,128,mbv2_blur,2024,mbv2_blur_seed_2024,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_first_part\experiments\mbv2_blur_seed_2024,
11,0.5772828191863166,0.8249584109094408,0.8128867639660691,0.7197977475755686,0.01,128,mbv2_blur,2024,mbv2_blur_seed_2024,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_first_part\experiments\mbv2_blur_seed_2024,
12,0.5463449116071065,0.8168642973264059,0.8338098590237651,0.7268090292622913,0.01,128,mbv2_blur,2024,mbv2_blur_seed_2024,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_first_part\experiments\mbv2_blur_seed_2024,
13,0.5125527746518453,0.8184977855311499,0.8465359695953006,0.7256645018913914,0.01,128,mbv2_blur,2024,mbv2_blur_seed_2024,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_first_part\experiments\mbv2_blur_seed_2024,
14,0.4860929179615444,0.861629660987854,0.8440581114580171,0.7240709591696534,0.01,128,mbv2_blur,2024,mbv2_blur_seed_2024,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_first_part\experiments\mbv2_blur_seed_2024,
