epoch,train_loss,val_loss,train_f1_macro,val_f1_macro,lr,batch_size,arch,weight_decay,dropout,seed,batch_size_from_dir,lr_from_dir,run_name,run_dir
0,1.882249301232232,1.6922392592748006,0.3305219322844245,0.3293557536531329,0.01,128,mbv2,0,0.2,123,128,0.01,mbv2_bs128_lr1e-2_wd_0_dp_2e-1_seed_123,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\bs_nowe_2\experiments\mbv2_bs128_lr1e-2_wd_0_dp_2e-1_seed_123
1,1.5385296880086263,1.4523583394368489,0.4452412556464251,0.4385690554158222,0.01,128,mbv2,0,0.2,123,128,0.01,mbv2_bs128_lr1e-2_wd_0_dp_2e-1_seed_123,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\bs_nowe_2\experiments\mbv2_bs128_lr1e-2_wd_0_dp_2e-1_seed_123
2,1.3131878434711033,1.5153559972551134,0.4790868288101753,0.466490568670694,0.01,128,mbv2,0,0.2,123,128,0.01,mbv2_bs128_lr1e-2_wd_0_dp_2e-1_seed_123,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\bs_nowe_2\experiments\mbv2_bs128_lr1e-2_wd_0_dp_2e-1_seed_123
3,1.1919984493255615,1.232608284272088,0.5687880149007913,0.5527754050374476,0.01,128,mbv2,0,0.2,123,128,0.01,mbv2_bs128_lr1e-2_wd_0_dp_2e-1_seed_123,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\bs_nowe_2\experiments\mbv2_bs128_lr1e-2_wd_0_dp_2e-1_seed_123
4,1.1052667919052972,1.2554192901187473,0.5810671919664718,0.5624493615663677,0.01,128,mbv2,0,0.2,123,128,0.01,mbv2_bs128_lr1e-2_wd_0_dp_2e-1_seed_123,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\bs_nowe_2\experiments\mbv2_bs128_lr1e-2_wd_0_dp_2e-1_seed_123
5,1.0416078934139676,1.1273117511113484,0.6124134850571983,0.5903342179308497,0.01,128,mbv2,0,0.2,123,128,0.01,mbv2_bs128_lr1e-2_wd_0_dp_2e-1_seed_123,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\bs_nowe_2\experiments\mbv2_bs128_lr1e-2_wd_0_dp_2e-1_seed_123
6,0.9859279738108316,0.9931145165867276,0.6704904731094558,0.6413690075228906,0.01,128,mbv2,0,0.2,123,128,0.01,mbv2_bs128_lr1e-2_wd_0_dp_2e-1_seed_123,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\bs_nowe_2\experiments\mbv2_bs128_lr1e-2_wd_0_dp_2e-1_seed_123
7,0.9358924215316772,0.9852890214496188,0.6821974174264006,0.6481757495580263,0.01,128,mbv2,0,0.2,123,128,0.01,mbv2_bs128_lr1e-2_wd_0_dp_2e-1_seed_123,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\bs_nowe_2\experiments\mbv2_bs128_lr1e-2_wd_0_dp_2e-1_seed_123
8,0.8979988714430067,0.9296371463669671,0.7045175230779019,0.6672320006483471,0.01,128,mbv2,0,0.2,123,128,0.01,mbv2_bs128_lr1e-2_wd_0_dp_2e-1_seed_123,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\bs_nowe_2\experiments\mbv2_bs128_lr1e-2_wd_0_dp_2e-1_seed_123
9,0.8538555332183838,0.940912443415324,0.7093457113749099,0.6697058581701484,0.01,128,mbv2,0,0.2,123,128,0.01,mbv2_bs128_lr1e-2_wd_0_dp_2e-1_seed_123,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\bs_nowe_2\experiments\mbv2_bs128_lr1e-2_wd_0_dp_2e-1_seed_123
10,0.8183012538274129,0.928388251876831,0.7190461331730846,0.6732767773113422,0.01,128,mbv2,0,0.2,123,128,0.01,mbv2_bs128_lr1e-2_wd_0_dp_2e-1_seed_123,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\bs_nowe_2\experiments\mbv2_bs128_lr1e-2_wd_0_dp_2e-1_seed_123
11,0.7921178291744656,0.8707851646105449,0.7332931524485605,0.6795346548692954,0.01,128,mbv2,0,0.2,123,128,0.01,mbv2_bs128_lr1e-2_wd_0_dp_2e-1_seed_123,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\bs_nowe_2\experiments\mbv2_bs128_lr1e-2_wd_0_dp_2e-1_seed_123
12,0.7587728378189935,0.8738987499025133,0.7494073977872173,0.6928347232732885,0.01,128,mbv2,0,0.2,123,128,0.01,mbv2_bs128_lr1e-2_wd_0_dp_2e-1_seed_123,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\bs_nowe_2\experiments\mbv2_bs128_lr1e-2_wd_0_dp_2e-1_seed_123
13,0.7300774933285183,0.8781302162276374,0.7574334594381458,0.6939085473635443,0.01,128,mbv2,0,0.2,123,128,0.01,mbv2_bs128_lr1e-2_wd_0_dp_2e-1_seed_123,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\bs_nowe_2\experiments\mbv2_bs128_lr1e-2_wd_0_dp_2e-1_seed_123
14,0.7066985849168566,0.8567089958296882,0.7704782675033952,0.701972184570536,0.01,128,mbv2,0,0.2,123,128,0.01,mbv2_bs128_lr1e-2_wd_0_dp_2e-1_seed_123,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\bs_nowe_2\experiments\mbv2_bs128_lr1e-2_wd_0_dp_2e-1_seed_123
