epoch,train_loss,val_loss,train_f1_macro,val_f1_macro,lr,batch_size,arch,weight_decay,dropout,seed,batch_size_from_dir,lr_from_dir,run_name,run_dir
0,1.8412876119189792,1.655656032625834,0.3714000260163609,0.3666639760306992,0.01,128,mbv2,0,0.0,123,128,0.01,mbv2_bs128_lr1e-2_wd_0_dp_0_seed_123,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\dropout_nowe\experiments\mbv2_bs128_lr1e-2_wd_0_dp_0_seed_123
1,1.434672559928894,1.3861864540100095,0.4968083952712678,0.4876083882506279,0.01,128,mbv2,0,0.0,123,128,0.01,mbv2_bs128_lr1e-2_wd_0_dp_0_seed_123,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\dropout_nowe\experiments\mbv2_bs128_lr1e-2_wd_0_dp_0_seed_123
2,1.25380077580346,1.3495056932873195,0.5210796007404157,0.5101887674183399,0.01,128,mbv2,0,0.0,123,128,0.01,mbv2_bs128_lr1e-2_wd_0_dp_0_seed_123,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\dropout_nowe\experiments\mbv2_bs128_lr1e-2_wd_0_dp_0_seed_123
3,1.1392175258424546,1.2395644368065728,0.5655133651146815,0.5522904227904273,0.01,128,mbv2,0,0.0,123,128,0.01,mbv2_bs128_lr1e-2_wd_0_dp_0_seed_123,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\dropout_nowe\experiments\mbv2_bs128_lr1e-2_wd_0_dp_0_seed_123
4,1.052225577047136,1.09980122856564,0.6236330513745579,0.6032481256628645,0.01,128,mbv2,0,0.0,123,128,0.01,mbv2_bs128_lr1e-2_wd_0_dp_0_seed_123,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\dropout_nowe\experiments\mbv2_bs128_lr1e-2_wd_0_dp_0_seed_123
5,0.9906561253229778,1.1039228299352857,0.6310751561903485,0.6078863249434524,0.01,128,mbv2,0,0.0,123,128,0.01,mbv2_bs128_lr1e-2_wd_0_dp_0_seed_123,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\dropout_nowe\experiments\mbv2_bs128_lr1e-2_wd_0_dp_0_seed_123
6,0.9366620379341972,0.988845869784885,0.668832395767924,0.6403853520590884,0.01,128,mbv2,0,0.0,123,128,0.01,mbv2_bs128_lr1e-2_wd_0_dp_0_seed_123,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\dropout_nowe\experiments\mbv2_bs128_lr1e-2_wd_0_dp_0_seed_123
7,0.8897143915070428,0.9769119669808282,0.6811529823188694,0.6493620577603146,0.01,128,mbv2,0,0.0,123,128,0.01,mbv2_bs128_lr1e-2_wd_0_dp_0_seed_123,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\dropout_nowe\experiments\mbv2_bs128_lr1e-2_wd_0_dp_0_seed_123
8,0.8446119021309747,0.906382603041331,0.7195255300466121,0.680109825913744,0.01,128,mbv2,0,0.0,123,128,0.01,mbv2_bs128_lr1e-2_wd_0_dp_0_seed_123,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\dropout_nowe\experiments\mbv2_bs128_lr1e-2_wd_0_dp_0_seed_123
9,0.806894443681505,0.8943954691886902,0.728945626750291,0.6860341280440205,0.01,128,mbv2,0,0.0,123,128,0.01,mbv2_bs128_lr1e-2_wd_0_dp_0_seed_123,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\dropout_nowe\experiments\mbv2_bs128_lr1e-2_wd_0_dp_0_seed_123
