epoch,train_loss,val_loss,train_f1_macro,val_f1_macro,lr,batch_size,arch,weight_decay,dropout,seed,batch_size_from_dir,lr_from_dir,run_name,run_dir
0,1.865351937950982,1.7012461582183838,0.3157480318553338,0.3110537631938722,0.01,128,mbv2,0.0001,0.2,123,128,0.01,mbv2_bs128_lr1e-2_wd_1e-4_dp_2e-1_seed_123,/content/drive/MyDrive/weight_decay_experiments/mbv2_bs128_lr1e-2_wd_1e-4_dp_2e-1_seed_123
1,1.499759747950236,1.5115458479563395,0.4408531685572791,0.4316899976421675,0.01,128,mbv2,0.0001,0.2,123,128,0.01,mbv2_bs128_lr1e-2_wd_1e-4_dp_2e-1_seed_123,/content/drive/MyDrive/weight_decay_experiments/mbv2_bs128_lr1e-2_wd_1e-4_dp_2e-1_seed_123
2,1.3569295912212795,1.435804311434428,0.4765266604629005,0.4726536708179367,0.01,128,mbv2,0.0001,0.2,123,128,0.01,mbv2_bs128_lr1e-2_wd_1e-4_dp_2e-1_seed_123,/content/drive/MyDrive/weight_decay_experiments/mbv2_bs128_lr1e-2_wd_1e-4_dp_2e-1_seed_123
3,1.283860112253825,1.2597152429156833,0.5303600859633929,0.5242644881771226,0.01,128,mbv2,0.0001,0.2,123,128,0.01,mbv2_bs128_lr1e-2_wd_1e-4_dp_2e-1_seed_123,/content/drive/MyDrive/weight_decay_experiments/mbv2_bs128_lr1e-2_wd_1e-4_dp_2e-1_seed_123
4,1.2180941183725993,1.2032350131670635,0.5600632031463328,0.5486629904738732,0.01,128,mbv2,0.0001,0.2,123,128,0.01,mbv2_bs128_lr1e-2_wd_1e-4_dp_2e-1_seed_123,/content/drive/MyDrive/weight_decay_experiments/mbv2_bs128_lr1e-2_wd_1e-4_dp_2e-1_seed_123
5,1.1823282134162054,1.258775872209337,0.5507274425591746,0.5411582320082513,0.01,128,mbv2,0.0001,0.2,123,128,0.01,mbv2_bs128_lr1e-2_wd_1e-4_dp_2e-1_seed_123,/content/drive/MyDrive/weight_decay_experiments/mbv2_bs128_lr1e-2_wd_1e-4_dp_2e-1_seed_123
6,1.1465083916664125,1.2796133725060357,0.5344198725607026,0.5237758032559959,0.01,128,mbv2,0.0001,0.2,123,128,0.01,mbv2_bs128_lr1e-2_wd_1e-4_dp_2e-1_seed_123,/content/drive/MyDrive/weight_decay_experiments/mbv2_bs128_lr1e-2_wd_1e-4_dp_2e-1_seed_123
7,1.12075162908766,1.3319219910091824,0.5296820551451003,0.5222856971362407,0.01,128,mbv2,0.0001,0.2,123,128,0.01,mbv2_bs128_lr1e-2_wd_1e-4_dp_2e-1_seed_123,/content/drive/MyDrive/weight_decay_experiments/mbv2_bs128_lr1e-2_wd_1e-4_dp_2e-1_seed_123
8,1.0962805543051826,1.151588953230116,0.587496504699099,0.5756712693797388,0.01,128,mbv2,0.0001,0.2,123,128,0.01,mbv2_bs128_lr1e-2_wd_1e-4_dp_2e-1_seed_123,/content/drive/MyDrive/weight_decay_experiments/mbv2_bs128_lr1e-2_wd_1e-4_dp_2e-1_seed_123
9,1.0743873664220174,1.177666664950053,0.5967108129357206,0.5856819155801323,0.01,128,mbv2,0.0001,0.2,123,128,0.01,mbv2_bs128_lr1e-2_wd_1e-4_dp_2e-1_seed_123,/content/drive/MyDrive/weight_decay_experiments/mbv2_bs128_lr1e-2_wd_1e-4_dp_2e-1_seed_123
10,1.061731548754374,1.15272075053321,0.5809280273745842,0.5706996093878024,0.01,128,mbv2,0.0001,0.2,123,128,0.01,mbv2_bs128_lr1e-2_wd_1e-4_dp_2e-1_seed_123,/content/drive/MyDrive/weight_decay_experiments/mbv2_bs128_lr1e-2_wd_1e-4_dp_2e-1_seed_123
11,1.045196600034502,1.0749375962787204,0.6224123131993797,0.6069651771502276,0.01,128,mbv2,0.0001,0.2,123,128,0.01,mbv2_bs128_lr1e-2_wd_1e-4_dp_2e-1_seed_123,/content/drive/MyDrive/weight_decay_experiments/mbv2_bs128_lr1e-2_wd_1e-4_dp_2e-1_seed_123
12,1.0357385354359945,1.126447158463796,0.6068005743667719,0.5950427788892266,0.01,128,mbv2,0.0001,0.2,123,128,0.01,mbv2_bs128_lr1e-2_wd_1e-4_dp_2e-1_seed_123,/content/drive/MyDrive/weight_decay_experiments/mbv2_bs128_lr1e-2_wd_1e-4_dp_2e-1_seed_123
13,1.0268312768512302,1.06757786371443,0.6289302246393431,0.614807628332108,0.01,128,mbv2,0.0001,0.2,123,128,0.01,mbv2_bs128_lr1e-2_wd_1e-4_dp_2e-1_seed_123,/content/drive/MyDrive/weight_decay_experiments/mbv2_bs128_lr1e-2_wd_1e-4_dp_2e-1_seed_123
14,1.0164279324001737,1.0938192464616563,0.6221847414406421,0.6094072810438564,0.01,128,mbv2,0.0001,0.2,123,128,0.01,mbv2_bs128_lr1e-2_wd_1e-4_dp_2e-1_seed_123,/content/drive/MyDrive/weight_decay_experiments/mbv2_bs128_lr1e-2_wd_1e-4_dp_2e-1_seed_123
15,1.0126740950478448,1.1413036491711934,0.5918879431767047,0.577072734303475,0.01,128,mbv2,0.0001,0.2,123,128,0.01,mbv2_bs128_lr1e-2_wd_1e-4_dp_2e-1_seed_123,/content/drive/MyDrive/weight_decay_experiments/mbv2_bs128_lr1e-2_wd_1e-4_dp_2e-1_seed_123
16,1.001728929625617,1.0750162688149347,0.6214716329903027,0.6063197019525725,0.01,128,mbv2,0.0001,0.2,123,128,0.01,mbv2_bs128_lr1e-2_wd_1e-4_dp_2e-1_seed_123,/content/drive/MyDrive/weight_decay_experiments/mbv2_bs128_lr1e-2_wd_1e-4_dp_2e-1_seed_123
17,0.9917409435060288,1.1280246920161776,0.6220070766771576,0.6053476937642263,0.01,128,mbv2,0.0001,0.2,123,128,0.01,mbv2_bs128_lr1e-2_wd_1e-4_dp_2e-1_seed_123,/content/drive/MyDrive/weight_decay_experiments/mbv2_bs128_lr1e-2_wd_1e-4_dp_2e-1_seed_123
18,0.9864421375910442,1.188000291495853,0.6058860572254671,0.5916944139637137,0.01,128,mbv2,0.0001,0.2,123,128,0.01,mbv2_bs128_lr1e-2_wd_1e-4_dp_2e-1_seed_123,/content/drive/MyDrive/weight_decay_experiments/mbv2_bs128_lr1e-2_wd_1e-4_dp_2e-1_seed_123
19,0.975457730017768,1.139406633483039,0.6136946235359398,0.5985764358624575,0.01,128,mbv2,0.0001,0.2,123,128,0.01,mbv2_bs128_lr1e-2_wd_1e-4_dp_2e-1_seed_123,/content/drive/MyDrive/weight_decay_experiments/mbv2_bs128_lr1e-2_wd_1e-4_dp_2e-1_seed_123
20,0.9700655925326878,1.019186584069994,0.656326260306477,0.6381490826699996,0.01,128,mbv2,0.0001,0.2,123,128,0.01,mbv2_bs128_lr1e-2_wd_1e-4_dp_2e-1_seed_123,/content/drive/MyDrive/weight_decay_experiments/mbv2_bs128_lr1e-2_wd_1e-4_dp_2e-1_seed_123
21,0.966626643371582,1.2144340643670823,0.5926864388317815,0.5789139502038148,0.01,128,mbv2,0.0001,0.2,123,128,0.01,mbv2_bs128_lr1e-2_wd_1e-4_dp_2e-1_seed_123,/content/drive/MyDrive/weight_decay_experiments/mbv2_bs128_lr1e-2_wd_1e-4_dp_2e-1_seed_123
22,0.965776837793986,1.0529312809520297,0.6285715189228042,0.6147047001275693,0.01,128,mbv2,0.0001,0.2,123,128,0.01,mbv2_bs128_lr1e-2_wd_1e-4_dp_2e-1_seed_123,/content/drive/MyDrive/weight_decay_experiments/mbv2_bs128_lr1e-2_wd_1e-4_dp_2e-1_seed_123
23,0.9627641892962986,1.2731239147398208,0.5705385329772691,0.5587054828199637,0.01,128,mbv2,0.0001,0.2,123,128,0.01,mbv2_bs128_lr1e-2_wd_1e-4_dp_2e-1_seed_123,/content/drive/MyDrive/weight_decay_experiments/mbv2_bs128_lr1e-2_wd_1e-4_dp_2e-1_seed_123
24,0.9574531423250834,1.0567014275868734,0.6446569470171812,0.6282501519670318,0.01,128,mbv2,0.0001,0.2,123,128,0.01,mbv2_bs128_lr1e-2_wd_1e-4_dp_2e-1_seed_123,/content/drive/MyDrive/weight_decay_experiments/mbv2_bs128_lr1e-2_wd_1e-4_dp_2e-1_seed_123
25,0.9547065552605524,0.9826411259333292,0.6635633958133452,0.647452412993725,0.01,128,mbv2,0.0001,0.2,123,128,0.01,mbv2_bs128_lr1e-2_wd_1e-4_dp_2e-1_seed_123,/content/drive/MyDrive/weight_decay_experiments/mbv2_bs128_lr1e-2_wd_1e-4_dp_2e-1_seed_123
0,1.8753368557824028,1.694537738672892,0.3483538937717076,0.3460493114956862,0.01,128,mbv2,0.0001,0.2,2024,128,0.01,mbv2_bs128_lr1e-2_wd_1e-4_dp_2e-1_seed_2024,/content/drive/MyDrive/weight_decay_experiments/mbv2_bs128_lr1e-2_wd_1e-4_dp_2e-1_seed_2024
1,1.4850178178363376,1.4806193488650852,0.4332705475776097,0.4262304579235666,0.01,128,mbv2,0.0001,0.2,2024,128,0.01,mbv2_bs128_lr1e-2_wd_1e-4_dp_2e-1_seed_2024,/content/drive/MyDrive/weight_decay_experiments/mbv2_bs128_lr1e-2_wd_1e-4_dp_2e-1_seed_2024
2,1.300773269144694,1.4928591002782186,0.4674338550896301,0.4625776442702142,0.01,128,mbv2,0.0001,0.2,2024,128,0.01,mbv2_bs128_lr1e-2_wd_1e-4_dp_2e-1_seed_2024,/content/drive/MyDrive/weight_decay_experiments/mbv2_bs128_lr1e-2_wd_1e-4_dp_2e-1_seed_2024
3,1.2255070459153916,1.2522775598949856,0.5443463193767417,0.5335800296255007,0.01,128,mbv2,0.0001,0.2,2024,128,0.01,mbv2_bs128_lr1e-2_wd_1e-4_dp_2e-1_seed_2024,/content/drive/MyDrive/weight_decay_experiments/mbv2_bs128_lr1e-2_wd_1e-4_dp_2e-1_seed_2024
4,1.182299715423584,1.3739530339135064,0.5181577456252717,0.5088408698570813,0.01,128,mbv2,0.0001,0.2,2024,128,0.01,mbv2_bs128_lr1e-2_wd_1e-4_dp_2e-1_seed_2024,/content/drive/MyDrive/weight_decay_experiments/mbv2_bs128_lr1e-2_wd_1e-4_dp_2e-1_seed_2024
5,1.1457541492356194,1.2643781205389235,0.5571062817725059,0.5438698248609365,0.01,128,mbv2,0.0001,0.2,2024,128,0.01,mbv2_bs128_lr1e-2_wd_1e-4_dp_2e-1_seed_2024,/content/drive/MyDrive/weight_decay_experiments/mbv2_bs128_lr1e-2_wd_1e-4_dp_2e-1_seed_2024
6,1.114747730339898,1.1563287784788343,0.5891903359324768,0.5800977193195885,0.01,128,mbv2,0.0001,0.2,2024,128,0.01,mbv2_bs128_lr1e-2_wd_1e-4_dp_2e-1_seed_2024,/content/drive/MyDrive/weight_decay_experiments/mbv2_bs128_lr1e-2_wd_1e-4_dp_2e-1_seed_2024
7,1.0889527104271783,1.2909809160338508,0.5286841694504967,0.5202799541482179,0.01,128,mbv2,0.0001,0.2,2024,128,0.01,mbv2_bs128_lr1e-2_wd_1e-4_dp_2e-1_seed_2024,/content/drive/MyDrive/weight_decay_experiments/mbv2_bs128_lr1e-2_wd_1e-4_dp_2e-1_seed_2024
8,1.069264457850986,1.1619816000620524,0.5828999444831323,0.5683437343256694,0.01,128,mbv2,0.0001,0.2,2024,128,0.01,mbv2_bs128_lr1e-2_wd_1e-4_dp_2e-1_seed_2024,/content/drive/MyDrive/weight_decay_experiments/mbv2_bs128_lr1e-2_wd_1e-4_dp_2e-1_seed_2024
